button_text,occurences,label
allow necessary cookies continue,3,reject
analítica,3,other
arenanet privacy notice,3,other
català,3,other
cerrar el banner de cookies rgpd,3,acknowledge
click here.,3,other
close and accept,3,accept
close banner,3,acknowledge
configuración cookies,3,settings
confirm enter,3,other
consentir todo,3,accept
consulta las condiciones de la oferta,3,other
consulta nuestra política de cookies,3,other
consulta nuestra política de cookies.,3,other
consulte la política de privacidad,3,other
consulteu la nostra política de privacitat,3,other
continue with apple,3,other
continue with google,3,other
cookie consent,3,other
cookie consent plugin for the eu cookie law,3,other
cookie-richtlinie,3,other
cookiebeleid,3,other
cookies de análisis (proveedores no adheridos a iab),3,other
cookies de marketing y segmentacion (proveedores no adheridos a iab),3,other
cookies de preferencias (proveedores no adheridos a iab),3,other
cookies de redes sociales (proveedores no adheridos a iab),3,other
cookies usage policy,3,other
cookiestatement instellingen,3,settings
cómo modificar la configuración de las cookies,3,settings
cómo utilizamos las cookies.,3,other
dane firmy,3,other
data protection policy,3,other
declaración sobre cookies,3,other
decline and subscribe,3,other
dena baztertu,3,reject
denegar cookies,3,reject
descartar todas,3,reject
do not sellcookie settings,3,other
données personnelles,3,other
dostosuj pliki cookie,3,settings
dostosuj wybory,3,settings
dowiedz się więcej o naszej polityce prywatności. 🡭,3,other
einwilligen weiter,3,accept
einwilligung,3,accept
els nostres socis,3,other
en savoir plus,3,other
entendido!,3,acknowledge
entgeltfrei.,3,other
essential technology,3,other
estic dacord,3,accept
functional and other cookies,3,other
functional only,3,reject
functional technology,3,other
further information can be found in our privacy policy,3,other
für werbe- und analysezwecke,3,other
genaue standortdaten und identifikation durch scannen von endgeräten,3,accept
geographically relevant advertising,3,other
gestiona tus preferencias,3,settings
gestionar,3,settings
gestionar configuración de privacidad,3,settings
gestionar las cookies,3,settings
go to end,3,other
haciendo clic aquí,3,other
i confirm selected,3,acknowledge
i do not accept cookies,3,reject
identifiants partagés,3,other
información legal,3,other
información sobre cookies,3,other
informacja prawna,3,other
inicia sessió,3,other
ir al final,3,other
jetzt anmelden,3,other
konfigurazioa,3,other
"learn how we and our ad partner google, collect and use data",3,other
learn more about how we use cookies,3,other
learn more about our cookie policy,3,other
leave site,3,other
leer más...,3,other
list of partners.,3,other
lista dostawców,3,other
listado completo,3,other
liste complète,3,other
login here,3,other
made hosted in germany by ccm19,3,other
mas información,3,other
more information about your privacy,3,other
my privacy choices,3,settings
más información sobre nuestras cookies,3,other
necesarias,3,reject
nie pokazuj więcej tego komunikatu,3,other
nie zezwalaj,3,reject
"no thanks, only necessary cookies",3,reject
només sutilitzen cookies quan és necessari,3,reject
normas de uso,3,other
nos partenaires,3,other
nuestros 1011 socios,3,other
ochrona danych,3,other
odrzucam wszystkie *,3,reject
odrzuć pliki cookie,3,reject
"ok, accept all",3,accept
"ok, las acepto",3,accept
"ok, zrozumiałem",3,acknowledge
only required,3,reject
opciones de cookies,3,settings
our 10 partners,3,other
our 1012 partners,3,other
our 1024 partners,3,other
our 4 partners,3,other
our 6 partners,3,other
panel de configuración de cookies,3,settings
parametrizar,3,other
paramétrer vos choix,3,settings
partnerów reklamowych iab (778) oraz google i pozostałych partnerów (1529),3,other
permet-les totes,3,accept
permitir solo cookies técnicas,3,reject
permitirlas todas,3,accept
"personalised advertising, advertising and content measurement, audience research and services development",3,other
personalize my choices,3,settings
personenbezogenen daten,3,other
please let us know.,3,other
politica de cookies.,3,other
politica de privacidad,3,other
polityce dotyczącej plików cookie,3,other
polityka ciasteczek,3,other
polityka prywatności grupa radiowa agory sp. z o.o.,3,other
polityka prywatności i cookies,3,other
polityka prywatności i plików cookies,3,other
polityką plików cookies,3,other
politykę prywatności.,3,other
política de privacidad de google,3,other
políticas de cookies,3,other
políticas de privacidad,3,other
prefiero rechazarlas,3,reject
privacy center,3,other
privacy cookie policy,3,other
privacy information,3,other
privacy page.,3,other
privatsphäre einstellungen,3,settings
proveedores (925),3,other
proveedores de terceros (1725),3,other
przypomnij później,3,other
quiero configurarlas,3,settings
read privacy policy,3,other
rebutjar cookies,3,reject
rebutjar-les totes,3,reject
rechazar y pagar 0.50€ por 24h,3,other
"rechazar y suscribirme 1,00 € por mes",3,other
rechazarlas todas las cookies,3,reject
regulaminem,3,other
reject all non-essential,3,reject
rexeitar,3,reject
rexeitar todas,3,reject
rifiuta e abbonati,3,other
saber más acerca de las cookies,3,other
saber-ne més,3,other
save exit,3,other
see details,3,other
see our 234 partners,3,other
see our privacy policy,3,other
seleccionar fines individuales,3,settings
select cookies,3,settings
ses partenaires,3,other
sobre las cookies,3,other
social media,3,other
solo cookies esenciales,3,reject
solo cookies necesarias,3,reject
start playing,3,other
storage preferences,3,settings
strictly necessary cookies,3,reject
strony trzecie,3,other
subscribe ad-free,3,other
supported internet connection,3,other
sus 1016 socios,3,other
suscribirme desde 1.67 al mes,3,other
"tak, zgadzam się",3,accept
tanca,3,other
technology partners,3,other
tylko wymagane,3,reject
ukatu cookieak,3,reject
use of cookies.,3,other
ustawienia szczegółowe,3,settings
utiq,3,other
vale,3,acknowledge
vendors (932),3,other
ver 1011 socios,3,other
ver nuestra política de cookies.,3,other
veure preferències,3,settings
view options,3,settings
view our 1104 partners,3,other
view our 161 partners,3,other
view our 20 partners,3,other
voorkeuren beheren,3,settings
w porządku!,3,acknowledge
weigeren,3,reject
widerrufen,3,other
wykorzystywanie profili w celu doboru spersonalizowanych treści,3,other
wyświetl listę partnerów (1 dostawców iab),3,other
wyświetl naszych 39 partnerów,3,other
zaakceptuj i kontynuuj,3,accept
zaawansowane,3,settings
zapisz,3,other
zapisz i zamknij,3,acknowledge
zarządzaj indywidualnymi preferencjami,3,settings
zarządzaj plikami cookies,3,settings
zarządzaj preferencjami plików cookie,3,settings
zezwól,3,accept
zezwól na wybrane,3,accept
zezwól tylko na niezbędne,3,reject
zgadzam się na wszystkie,3,accept
zgoda na wybrane,3,accept
zmień zgody,3,settings
zobacz politykę prywatności,3,other
¿ya utilizas contentpass ? iniciar sesión,3,other
настроить файлы cookie,3,settings
подробнее,3,other
принимать только необходимые файлы cookie,3,reject
принять все файлы cookie,3,accept
условия,3,other
„polityką dotyczącą plików cookie,3,other
accept selection,2,accept
close cookie bar,2,acknowledge
customize your choice,2,settings
decline (non-essential cookies),2,reject
dispute resolution procedures,2,other
essential,2,reject
global privacy notice,2,other
learn more and customize,2,settings
leave website,2,other
manage cookies settings,2,settings
manage my settings,2,settings
notice,2,other
only essential cookies,2,reject
only necessary cookies,2,reject
only the cookies that are necessary,2,reject
reject non-strictly necessary cookies,2,reject
save close,2,other
show all partners (1678),2,other
strictly necessary cookies only,2,reject
view our cookie policy,2,other
visit our privacy policy,2,other
edit preferences,1,settings
